year,month,code, NI , Dep , gain_on_disposition , loss_of_disposition , gain_on_appreciation , loss_of_appreciation , gain_on_others , looss_of_others , FFO ,,,code,, dividend , dps ,
2024,11,365550," 3,600,540,919 "," 15,791,392,000 ", - , - ,,," 2,283,477,613 "," 315,282,869 "," 17,423,738,175 ",-0.1278983001 ,-0.1753143720 ,365550,증가한 금융비용 부담이 유지됨," 29,193,000,000 ", 137 ,
2025,5,365550," 9,778,739,593 "," 16,173,718,000 ", - , - ,,," 9,600,537,895 ",," 16,351,919,698 ",-0.0615148406 ,-0.1815454972 ,365550,"금융비용++, 금융수익--"," 29,193,000,000 ", 137 ,
2021,9,377190," 2,498,514,116 "," 3,535,905,000 ",,,,," 6,435,227,485 ",,"-400,808,369 ",-1.0245113954 ,-1.0230035808 ,377190,," 5,261,000,000 ", 81 ,
2022,3,377190," 3,348,268,691 "," 3,835,664,000 ",,,,,," 1,126,293,581 "," 8,310,226,272 ",-21.7336645508 ,-0.4917889504 ,377190,," 9,783,000,000 ", 151 ,
2022,9,377190," 1,176,174,157 "," 4,344,742,000 ",,,,,," 1,355,249,282 "," 6,876,165,439 ",-0.1725657986 ,-18.1557431701 ,377190,," 9,660,000,000 ", 150 ,
2023,3,377190," 7,538,286,589 "," 4,617,592,000 ",,,,," 5,294,941,495 ",," 6,860,937,094 ",-0.0022146566 ,-0.1743982812 ,377190,," 9,660,000,000 ", 150 ,
2023,9,377190," 3,138,984,861 "," 4,624,560,000 ",,,,," 1,561,890,065 ",," 6,201,654,796 ",-0.0960921648 ,-0.0980940102 ,377190,," 9,080,000,000 ", 141 ,
2024,3,377190," 3,456,470,990 "," 4,625,784,000 ",,,,," 2,384,640,936 ",," 5,697,614,054 ",-0.0812752013 ,-0.1695574561 ,377190,," 8,887,000,000 ", 138 ,
2024,9,377190," 2,814,924,624 "," 4,627,886,000 ",,,,," 2,283,147,157 ",," 5,159,663,467 ",-0.0944168176 ,-0.1680182731 ,377190,," 8,952,000,000 ", 139 ,
2025,3,377190," 4,067,206,754 "," 4,756,698,000 ",,,,," 2,406,757,300 ",," 6,417,147,454 ", 0.2437143420 , 0.1262867918 ,377190,금융비용++," 11,138,000,000 ", 126 ,
2021,12,395400," 15,052,398,236 "," 4,068,818,000 ", - , - ,,,,," 19,121,216,236 ", 1.9797065399 , 2.7059037587 ,395400,," 19,121,000,000 ", 123 ,
2022,6,395400," 17,935,714,081 "," 4,153,340,000 ", - , - ,,,,," 22,089,054,081 ", 0.1552117715 , 2.4421920704 ,395400,," 22,032,000,000 ", 141 ,
2022,12,395400," 10,996,471,286 "," 8,722,417,000 ", - , - ,,,,," 19,718,888,286 ",-0.1073004659 , 0.0312570102 ,395400,금융비용++(그만큼은 아니지만 금융수익++)," 25,946,000,000 ", 132 ,
2023,6,395400," 7,151,316,908 "," 9,366,808,000 ", - , - ,,,,," 16,518,124,908 ",-0.1623196669 ,-0.2522031569 ,395400,," 25,946,000,000 ", 132 ,
